# LF_DEM version 3.0
# np 1000
# VF 0.54
# Lx 22.4858
# Ly 22.4858
# Lz 22.4858
0.0100456 25.8798 -0.373712 -0.00110007 1.30135 -0.048563 -0.135075 -0.320152 -0.292804 -0.00154393 1.26072 -0.0450215 -0.0929457 -0.243357 -0.0625482 0.00612238 0.0376767 0.0019161 -0.0222145 -0.0581151 -0.0183596 -0.00567853 0.00294816 -0.00545763 -0.0199151 -0.0186796 0 0 0 0 0 0 
0.0200371 26.5081 -0.651029 -0.00980486 1.33468 -0.0463595 -0.335626 -0.605881 -0.358146 0.00548975 1.18092 -0.0330709 -0.158238 -0.308696 -0.271316 0.00518846 0.203942 -0.0102285 -0.0997929 -0.27843 -0.0215664 -0.0204831 -0.050182 -0.0030601 -0.0775947 -0.0187544 0 0 0 0 0 0 
0.0300287 27.5434 -0.915463 -0.0120486 1.3896 -0.0462763 -0.535573 -0.898232 -0.343857 0.00753445 1.09609 -0.0302684 -0.164195 -0.308104 -0.613121 0.0122329 0.451081 -0.0115195 -0.276266 -0.634165 0.0415144 -0.0318159 -0.157565 -0.00448842 -0.0951119 0.0440367 0 0 0 0 0 0 
0.0400202 28.1148 -1.10489 -0.00339607 1.41992 -0.0502897 -0.676114 -1.1104 -0.360164 0.0148509 1.04819 -0.0240584 -0.174143 -0.330489 -0.856701 0.00791069 0.607432 -0.034557 -0.421359 -0.884757 0.111972 -0.0261576 -0.235704 0.00832562 -0.0806114 0.104843 0 0 0 0 0 0 
0.0500118 28.4697 -1.23742 0.0105632 1.43874 -0.0589888 -0.779923 -1.25711 -0.378864 0.0190157 1.01114 -0.0256536 -0.180893 -0.34324 -1.02027 0.0102509 0.71614 -0.0430373 -0.553268 -1.08056 0.161716 -0.0187034 -0.288534 0.00970217 -0.0457613 0.166684 0 0 0 0 0 0 
0.0600034 28.4944 -1.33191 0.0195495 1.44005 -0.0620166 -0.864169 -1.3505 -0.381067 0.0174293 0.974949 -0.0206551 -0.185283 -0.343755 -1.16362 0.0258754 0.808723 -0.0529553 -0.67053 -1.23049 0.212775 -0.0237552 -0.343617 0.0115939 -0.00835555 0.223744 0 0 0 0 0 0 
0.0700489 28.2277 -1.38268 0.0268152 1.4259 -0.0645589 -0.918736 -1.39729 -0.401321 0.016993 0.955031 -0.0188958 -0.19468 -0.359782 -1.22383 0.0277594 0.827794 -0.0560123 -0.764355 -1.30012 0.24247 -0.0179371 -0.35692 0.0103493 0.040299 0.262612 0 0 0 0 0 0 
0.0800405 27.8011 -1.40621 0.0292038 1.40327 -0.0626705 -0.952586 -1.42503 -0.417112 0.0164316 0.936975 -0.015456 -0.204567 -0.374131 -1.27 0.0293984 0.837606 -0.0646883 -0.821595 -1.34019 0.280903 -0.0166262 -0.371307 0.0174738 0.0735757 0.289293 0 0 0 0 0 0 
0.0900321 27.3183 -1.41012 0.0351785 1.37766 -0.0651883 -0.974196 -1.43175 -0.428341 0.0187811 0.920403 -0.0170558 -0.211491 -0.383985 -1.29338 0.0233682 0.84124 -0.0580129 -0.851502 -1.35757 0.311601 -0.00697081 -0.383982 0.00988044 0.088797 0.309808 0 0 0 0 0 0 
0.100024 26.9012 -1.4213 0.0375919 1.35553 -0.0703222 -0.999856 -1.43158 -0.435544 0.0219159 0.903899 -0.0180978 -0.21748 -0.391367 -1.32395 0.0151146 0.848998 -0.0607832 -0.883776 -1.36538 0.338197 0.000561323 -0.397366 0.00855871 0.1014 0.325165 0 0 0 0 0 0 
0.110015 26.5509 -1.43041 0.0404774 1.33695 -0.0674708 -1.01208 -1.42882 -0.449667 0.0228817 0.894185 -0.0180215 -0.226299 -0.39902 -1.32898 0.0223986 0.837494 -0.0517597 -0.901669 -1.36392 0.348233 -0.00480284 -0.394731 0.00231036 0.115889 0.334117 0 0 0 0 0 0 
0.120007 26.3333 -1.45157 0.0437239 1.32541 -0.0663533 -1.03607 -1.42721 -0.460934 0.0238459 0.884132 -0.0187819 -0.233704 -0.402737 -1.34608 0.0205842 0.842306 -0.0569156 -0.932608 -1.38206 0.355444 -0.000706279 -0.401032 0.00934424 0.130242 0.357593 0 0 0 0 0 0 
0.130052 26.2071 -1.4765 0.0470709 1.31871 -0.0668033 -1.05636 -1.4316 -0.468815 0.0251887 0.875877 -0.0198412 -0.23971 -0.408655 -1.36641 0.0249496 0.84567 -0.0626303 -0.947587 -1.39713 0.358724 -0.00306746 -0.402837 0.0156682 0.130938 0.374179 0 0 0 0 0 0 
0.140044 26.1108 -1.49802 0.0551933 1.3136 -0.0676164 -1.07904 -1.43094 -0.473274 0.0301088 0.867234 -0.0240783 -0.242969 -0.409699 -1.39371 0.0189872 0.856721 -0.0566817 -0.97701 -1.39918 0.368966 0.0060972 -0.410352 0.0131437 0.140942 0.377937 0 0 0 0 0 0 
0.150035 25.9637 -1.50547 0.0583214 1.3058 -0.0690992 -1.08945 -1.42743 -0.479208 0.0276319 0.861845 -0.0222776 -0.243525 -0.410137 -1.4099 0.0379455 0.86075 -0.0708201 -1.00023 -1.40725 0.38364 -0.00725606 -0.416799 0.0239984 0.154301 0.389957 0 0 0 0 0 0 
0.160027 25.7731 -1.5124 0.0651753 1.29569 -0.0725632 -1.09577 -1.42146 -0.485227 0.0301722 0.855991 -0.0240253 -0.242381 -0.412848 -1.41633 0.0396179 0.858559 -0.0702985 -1.02879 -1.39649 0.389158 -0.0046148 -0.418862 0.0217606 0.175395 0.387883 0 0 0 0 0 0 
