# LF_DEM version 3.0
# np 512
# VF 0.48
# Lx 18.7132
# Ly 18.7132
# Lz 18.7132
0.01005 6.0136 -0.0432851 0.00421742 0.255369 0.00085391 -0.0523141 -0.05743 0.00821067 0.00425013 0.255383 0.000928423 0.00252518 -0.00461734 0 0 0 0 0 0 0 0 0 0 0 0 -0.0514958 -3.27102e-05 -1.33242e-05 -7.45132e-05 -0.0548393 -0.0528127 
0.0201 6.05838 -0.0525172 0.00463712 0.257745 0.00034367 -0.0560375 -0.0669076 -0.00125736 0.00453978 0.25549 0.000398981 -0.00131415 -0.014092 0 0 0 0 0 0 0 0 0 0 0 0 -0.0512598 9.73334e-05 0.00225457 -5.53106e-05 -0.0547234 -0.0528156 
0.03 6.11483 -0.0616201 0.00496902 0.26074 -0.000135535 -0.0599563 -0.0764396 -0.0104013 0.00474222 0.256282 -8.98252e-05 -0.00520029 -0.0233373 0 0 0 0 0 0 0 0 0 0 0 0 -0.0512188 0.000226797 0.00445754 -4.57094e-05 -0.054756 -0.0531023 
0.04005 6.17238 -0.0707797 0.00565379 0.263793 -0.000826951 -0.0643454 -0.0856092 -0.0194138 0.00529689 0.257169 -0.000762481 -0.00942609 -0.0319981 0 0 0 0 0 0 0 0 0 0 0 0 -0.0513659 0.000356902 0.00662407 -6.44696e-05 -0.0549194 -0.0536111 
0.0501 6.24233 -0.0802556 0.00640514 0.267504 -0.00132249 -0.0687429 -0.0959107 -0.028539 0.00590754 0.258755 -0.00123681 -0.0135169 -0.0415072 0 0 0 0 0 0 0 0 0 0 0 0 -0.0517166 0.000497604 0.00874922 -8.56773e-05 -0.055226 -0.0544034 
0.06 6.30364 -0.0894801 0.00690193 0.270757 -0.00161736 -0.0730581 -0.105314 -0.0372921 0.00626829 0.260032 -0.00151731 -0.0174454 -0.0500252 0 0 0 0 0 0 0 0 0 0 0 0 -0.052188 0.000633636 0.0107248 -0.000100059 -0.0556127 -0.0552892 
0.07005 6.39401 -0.0996577 0.00784575 0.275551 -0.00240496 -0.0780153 -0.115658 -0.0468012 0.0070811 0.262867 -0.00227985 -0.0218533 -0.059252 0 0 0 0 0 0 0 0 0 0 0 0 -0.0528565 0.000764648 0.0126837 -0.000125117 -0.056162 -0.0564063 
0.0801 6.47454 -0.109229 0.00851168 0.279823 -0.00318145 -0.0826219 -0.125871 -0.0556566 0.00761669 0.265305 -0.00303332 -0.0258424 -0.0682353 0 0 0 0 0 0 0 0 0 0 0 0 -0.0535727 0.000894991 0.0145176 -0.000148131 -0.0567795 -0.0576353 
0.09 6.55724 -0.119663 0.00921109 0.284211 -0.00365226 -0.0878109 -0.136913 -0.0652609 0.0081911 0.267944 -0.00352484 -0.0303256 -0.0779103 0 0 0 0 0 0 0 0 0 0 0 0 -0.054402 0.00101999 0.0162662 -0.000127418 -0.0574852 -0.0590025 
0.10005 6.65972 -0.131153 0.0104472 0.289647 -0.00469575 -0.0933309 -0.148835 -0.0758547 0.00930122 0.271709 -0.00454927 -0.0350865 -0.0883637 0 0 0 0 0 0 0 0 0 0 0 0 -0.0552986 0.00114599 0.0179385 -0.000146483 -0.0582444 -0.0604715 
